SKU;Marca;Producto;Categoria;Modelo;Origen;Talle;Temporada;Color;Tela;Precio;Imagen;Galeria
156;LDE;MANTA PLUSH;Mantas;848;ARGENTINA ;;2018/2019;gris;;1;T_5_front.jpg;T_5_back.jpg
157;LDE;MANTA DOBLE;Mantas;451;ARGENTINA ;;2018/2019;gris;;1;T_5_front.jpg;T_5_back.jpg
158;LDE;REMERA NENA MORE BORDADA;Remeras;2020;ARGENTINA ;;2018/2019;gris;;300;T_5_front.jpg;T_5_back.jpg
159;LDE;JEANS NENA BORDADO FLORES ;Jeans;1889;ARGENTINA ;;2018/2019;gris;;1;T_5_front.jpg;T_5_back.jpg
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
